ユーザーID,氏名,都道府県,購入金額,メールアドレス
U071,橋本賢一,千葉県,6000,hashimoto71@test.jp
U072,田中奈々,兵庫県,15000,tanaka72@test.jp
U073,木村幸恵,愛知県,3000,kimura73@demo.co.jp
U074,橋本正樹,埼玉県,3000,hashimoto74@mail.com
U075,高橋誠,埼玉県,12000,takahashi75@test.jp
U076,橋本恵子,東京都,25000,hashimoto76@example.com
U077,山口一郎,埼玉県,25000,yamaguchi77@demo.co.jp
U078,橋本賢一,神奈川県,4000,hashimoto78@sample.ne.jp
U079,山田一郎,兵庫県,25000,yamada79@test.jp
U080,林智子,広島県,1000,hayashi80@mail.com
U081,渡辺智子,東京都,2000,watanabe81@test.jp
U082,渡辺一郎,大阪府,5000,watanabe82@test.jp
U083,長谷川花子,東京都,10000,hasegawa83@sample.ne.jp
U084,小林恵,埼玉県,2000,kobayashi84@test.jp
U085,林里奈,兵庫県,6000,hayashi85@mail.com
U086,長谷川義之,埼玉県,8500,hasegawa86@test.jp
U087,佐藤賢一,神奈川県,8500,sato87@mail.com
U088,石川亜希,兵庫県,6000,ishikawa88@mail.com
U089,渡辺光雄,神奈川県,8000,watanabe89@test.jp
U090,伊藤恵子,北海道,2000,ito90@example.com
U091,伊藤奈々,神奈川県,7000,ito91@demo.co.jp
U092,松本隆,東京都,8500,matsumoto92@example.com
U093,山本太郎,北海道,25000,yamamoto93@test.jp
U094,鈴木義之,京都府,25000,suzuki94@example.com
U095,小林光雄,大阪府,2000,kobayashi95@example.com
U096,後藤香織,千葉県,3000,goto96@mail.com
U097,伊藤幸恵,静岡県,1000,ito97@example.com
U098,伊藤麻衣,神奈川県,10000,ito98@demo.co.jp
U099,高橋賢一,大阪府,10000,takahashi99@mail.com
U100,前田由美,長野県,7000,maeda100@example.com
